no.,mySUNI ID,Company,Title,Category,Level,Nickname,,,,,,,,,,,,,,,,,,
33,0604D3FBA2C94B108C585E461185E31520240619134244,SK텔레콤,문서 정보를 병렬로 조회하는 챗봇,챗봇,초급,피이쓰,,,,,,,,,,,,,,,,,,
34,C04F8EA08FD24D57894531FA91991B7520240619165635,SK텔레콤,키워드 기반 뉴스 검색 GPTs 및 크롤링 Tool 제작,챗봇,초급,열정적인바다1234,,,,,,,,,,,,,,,,,,
35,2AC43E9D0C9D4214B5F19CB73666066620240603152035,SK텔링크,ChatGPT를 활용한 고객 1:1 문의 응답 자동 템플릿 추천,챗봇,초급,따뜻한커피4443,,,,,,,,,,,,,,,,,,
36,062C64B8E7B7402FA5DD8823CC80225320240619132919,SK주식회사 C&C,PPT 메시지 구성 자동화,콘텐츠,초급,David,,,,,,,,,,,,,,,,,,
37,84813F9C6FB74CE4BAB3668F3641DAD720240624103607,SK에코엔지니어링,"설계 문서의 Revision 시, 변경 사항 자동 검색 및 표기",자동화,초급,Sting,,,,,,,,,,,,,,,,,,
38,ACF906B8E99F4CC8B5821245C88362F820240603163758,SK트레이딩인터내셔널,초보아빠의 내 아이를 위한 GPTs,일상,초급,가포리,,,,,,,,,,,,,,,,,,
39,5552EB17F7BB4FA88D9F8D527D3F255320240605155218,SK텔링크,보안뉴스 요약봇 만들기,챗봇,초급,아이언매니아,,,,,,,,,,,,,,,,,,
40,5552EB17F7BB4FA88D9F8D527D3F255320240605155218,SK텔링크,개인정보보호 가이드 챗봇 만들기,챗봇,초급,아이언매니아,,,,,,,,,,,,,,,,,,
41,DEE9C66ACAC9434ABCD7831A39FFB67120240620153236,SK텔레콤,엑셀VBA를 활용한 부동산 자산 간접 실사,자동화,초급,활기찬데이터1098,,,,,,,,,,,,,,,,,,
42,81BDAB8CB21D449B90313D81AFE9C34420240625102541,SK케미칼,생성형 AI 활용 숏폼으로 내부 구성원 교육을?,콘텐츠,초급,용감한하늘1234,,,,,,,,,,,,,,,,,,
43,26F3FDE997E14665A0F7634604D9A38220240625132655,SK텔레콤,AI기반 IX Biz 리포트 자동발행,자동화,고급,오누빠,,,,,,,,,,,,,,,,,,
44,506AA13907EA458FB26C55E51264EEB120240625161843,SK텔레콤,여러 개 인터페이스를 한번에 조회하는 정규표현식 만들기,자동화,초급,활발한코딩마스터3452,,,,,,,,,,,,,,,,,,
45,DEA0C3786B624CA68EFB81994D88183720240620150540,SK텔레콤,Learning Science와 AI를 결합하여 교육 프로그램 개발 사례,콘텐츠,중급,Truebeliev,,,,,,,,,,,,,,,,,,
46,2D2229E5EA1D4C9981DA7F8DC4A9475320240619131314,SK텔레콤,실용성 있는 내부 문서 검색 솔루션,챗봇,중급,신속한코딩마스터1287,,,,,,,,,,,,,,,,,,
47,C993F6762EF04E618C8F0D62501D86D820240619132540,SK브로드밴드,5분만에 작성하는 사업계획서 초안,질의,초급,후홍몽,,,,,,,,,,,,,,,,,,
48,76A31DFA1C294BFBB6D906925F8B670B20240620155502,SK바이오사이언스,날씨에 맞는 옷차림 추천,일상,초급,활동적인코드마스터4172,,,,,,,,,,,,,,,,,,
49,76A31DFA1C294BFBB6D906925F8B670B20240620155502,SK바이오사이언스,ChatGPT를 활용한 냉장고에 남아있는 음식을 활용하는 법,일상,초급,활동적인코드마스터4172,,,,,,,,,,,,,,,,,,
50,1C536B3DAB8F48A581BCAD48A02AE23B20240619141803,SK텔레콤,기업 소개 보고서 생성,챗봇,초급,ETNA,,,,,,,,,,,,,,,,,,
51,343CFEB39D924A97924EC8864028586520240626190829,SK브로드밴드,GPT4로 쉽게 작성하는 액셀 자동화 VBA,자동화,초급,브로비동,,,,,,,,,,,,,,,,,,
52,D3B57C2AE64B4BFA9095F69F223C3EE920240603193200,SK이노베이션,연구노트 관리 규정 가이드 작성 및 응답 챗봇,챗봇,초급,푸른사막777,,,,,,,,,,,,,,,,,,
53,E59B6AC43A134D9EA1E1E118977E611920240626204130,SK텔레콤,간단한 스크립트는 혼자 짜주는 요즘 챗GPT 개발,챗봇,초급,singleheart,,,,,,,,,,,,,,,,,,
54,9D1343041FDA42A994C341F222871F3020240611092644,SK하이닉스,생성형 AI를 활용한 defect 분류 시스템 개발,데이터분석,고급,반포,,,,,,,,,,,,,,,,,,
55,062C64B8E7B7402FA5DD8823CC80225320240619132919,SK주식회사 C&C,여행 분석과 글쓰기,일상,초급,David,,,,,,,,,,,,,,,,,,
56,E3F61831A2924184AE5494AB7ACDA6B620240627072740,SK에코엔지니어링,영어공부하기,일상,초급,AI를파트너로,,,,,,,,,,,,,,,,,,
57,016785E508894D6783D2D93E46B5396720240627083957,SK아이이테크놀로지,공모전 참여,-,초급,활발한코딩고수4571,,,,,,,,,,,,,,,,,,
58,76A31DFA1C294BFBB6D906925F8B670B20240620155502,SK바이오사이언스,Chat GPT를 활용한 메뉴 선정,일상,초급,활동적인코드마스터4172,,,,,,,,,,,,,,,,,,
59,AA40D409D5184FAAB7A590940051594A20240627084437,SK텔레콤,악플보다 무플이 더 무서워!,자동화,중급,메타용용,,,,,,,,,,,,,,,,,,
60,9FB0792E20E3481B8DA0B4C24CFDF97420240627085901,SK오앤에스,생산적인 업무를 할 시간이 부족해? 그럼 자동화(RPA)지~,자동화,초급,열정적인코딩2471,,,,,,,,,,,,,,,,,,
61,542BD984276F4EBF98A0A8BD64037FDE20240627102645,SK주식회사 C&C,AWS 자격증 시험대비 문제풀이 사이트,콘텐츠,중급,Azssi,,,,,,,,,,,,,,,,,,
62,D2F0FD71E11A4D64901104B79FE2994720240627085611,SK 에코플랜트,내가 필요한 영역에서 전문성 있는 대답을 해주는 도우미,질의,초급,windchaser,,,,,,,,,,,,,,,,,,
63,EDD4FD86D00242F28578D6881C9CE00320240627104504,SK주식회사 C&C,ChatGPT를 활용해서 수준별 맞춤 교육 컨텐츠 개발,콘텐츠,초급,활발한코딩어2205,,,,,,,,,,,,,,,,,,
64,B609AC5C6B8C4411B59699C724C701DA20240626131020,SK엔무브,GPT를 이용한 법규 검색 및 이용,질의,초급,HIBYOK,,,,,,,,,,,,,,,,,,
65,DC88D3525EE84E6BB21CDB908C76A48C20240627092508,SK브로드밴드,제안업무에 생성형AI 이미지 활용기,콘텐츠,초급,장수만세2033,,,,,,,,,,,,,,,,,,
66,C800D05CF3534CCF8B4ED47AA3DAC7F320240620101052,SK주식회사 C&C,OpenAI 를 활용한 시를 써주는 챗봇 만들기,일상,초급,지니,,,,,,,,,,,,,,,,,,
67,4A0A1CFD2D884E4CBBC2B55AF556836020240619140627,SK텔레콤,칵테일 레시피를 추천해주는 GPTs 만들기,일상,초급,활발한초코2234,,,,,,,,,,,,,,,,,,
68,3D1D7534E2D443D4B19CD07971B38AAB20240627155333,SK바이오텍,충돌주의 경고표지 제작,콘텐츠,초급,활발한고양이4782,,,,,,,,,,,,,,,,,,
69,39DF7A62131E4633B5570965A43EC23020240627101413,SK텔레콤,모솔 탈출! 가스라이팅 탈출! 고민상담 master.. 단비같은 AI.,일상,초급,패트로패트로패트로패,,,,,,,,,,,,,,,,,,
70,26F3FDE997E14665A0F7634604D9A38220240625132655,SK텔레콤,AI기반 IX Biz 리포트 자동발행,자동화,고급,오누빠,,,,,,,,,,,,,,,,,,
71,3873610F91E64B70B8DF2DD8B117A68020240620080219,부산도시가스,스마트 안전 파트너 챗봇 (법규/규정/절차 챗봇),챗봇,초급,AI초보,,,,,,,,,,,,,,,,,,
72,5552EB17F7BB4FA88D9F8D527D3F255320240605155218,SK텔링크,GPT로 골프라운딩 기록 분석해보기,일상,중급,아이언매니아,,,,,,,,,,,,,,,,,,
73,72A91C080E544A479A53826A4F69EDC920240628141618,SK텔레콤,X Crawling (AI Frontier 교육),자동화,초급,활발한코딩마스터2038,,,,,,,,,,,,,,,,,,
74,C482F66FD8A040B2BF153F276B1CBB7D20240628163202,SK텔레콤,Perplexity - 거짓없는 초스피드 기업조사,자동화,초급,라파엘로,,,,,,,,,,,,,,,,,,
75,062C64B8E7B7402FA5DD8823CC80225320240619132919,SK주식회사 C&C,"OT 시간, 독서, 소비",일상,초급,David,,,,,,,,,,,,,,,,,,
76,D4EE49CDB103468484E16012A072B0CD20240623215822,SK하이닉스,GPT 를 이용한 업무관련 최신 기술 파악,연구개발,초급,따스한크리스,,,,,,,,,,,,,,,,,,
77,9C67A401B5134D649904F5645344006120240619170521,SK트레이딩인터내셔널,엑셀을 활용한 복잡한 계층형 분석 (Power Query + Pivot),데이터분석,중급,활동적인밤하늘5732,,,,,,,,,,,,,,,,,,
78,BA35487615C24BCF90E2C5F827B42DAB20240626201717,SK E&S,생성형 AI를 활용한 제안서 PPT 커버이미지 생성,콘텐츠,초급,에디사마,,,,,,,,,,,,,,,,,,
79,9E53F39B94A54532833483CB0B9FF6D920240627100201,SK매직,미드저니를 활용한 기획의 시각화,콘텐츠,초급,betterworks,,,,,,,,,,,,,,,,,,
80,76FD135902654794A5C889C344DD942020240624164217,SK브로드밴드,AI을 활용한 광고 이미지 생성,콘텐츠,초급,하늘아기,,,,,,,,,,,,,,,,,,
81,A79841CF695C47DA933C65E7CAE4B36520240701152941,서비스에이스,chat gpt 활용을 통한 업무시간 단축 및 효율화,자동화,초급,호기심많은코드러1234,,,,,,,,,,,,,,,,,,
82,72FC520D106F45FA970291844968B44120240625102406,SK바이오팜,AI 활용 오픈소스 코드 실행(ubiquitination site 예측),연구개발,중급,coldtype08,,,,,,,,,,,,,,,,,,
83,495C95FB12344077BFA21274BCF4A7A320240620082443,SK가스,"술자리 건배사 쫄지말자 삼행시 GPT로 자신있게!""""",일상,초급,해운대 꿀주먹,,,,,,,,,,,,,,,,,,
84,B65B76A6348C4161BD0062C5F2CCC6B720240604144934,SK텔레콤,(중복)AI로 만든 USIM 웹툰 연재한 썰.SSUL,콘텐츠,중급,heky,,,,,,,,,,,,,,,,,,
85,11586EE3025A43AB9314FC7F387B1DAF20240620153227,SK텔레콤,업체 개요 조사 챗봇 구현,챗봇,중급,활발한코딩마스터0427,,,,,,,,,,,,,,,,,,
86,7D316E8080064E4BADBA899436A746B720240702141023,SK텔레콤,모바일신분증 증명사진 활용,콘텐츠,초급,우주소년,,,,,,,,,,,,,,,,,,
87,6B3E526D27144BCEB3B95DFB9ED638D620240620093024,SK 에코플랜트,내가 원하는 저널에서 '관심뉴스' 만 골라서 엑셀로 정리하는 방법,자동화,중급,사울85김안,,,,,,,,,,,,,,,,,,
88,A0A7E0500FD840D38D17E835ED324E9E20240619151136,SK텔레콤,통합국 광케이블 인입 프로젝트,콘텐츠,초급,마루,,,,,,,,,,,,,,,,,,
89,283B5745F4C1417D907316C8889A1ED120240619132318,SK주식회사 C&C,쌓여만 가는 냉장고 속 식재료를 해결해줘,일상,초급,열정적인코드마스터4512,,,,,,,,,,,,,,,,,,
90,820390CE23A6414CBDCAFC6D8216ABA020240702173421,SK텔레콤,MBTI 소통 마법사와 퀴즈 팡팡,일상,초급,SmartCona,,,,,,,,,,,,,,,,,,
91,011A47BFC4D6428BA3C6B5BEA528A09C20240619132556,SK이노베이션,영어 표현 공부하기,일상,초급,신속한코딩덕후4729,,,,,,,,,,,,,,,,,,
92,B16597894D1242B4BD94DACE6943EA3F20240628141932,SK텔레콤,이제 속지말자! 정말 내가 원하는 맛집 찾기,일상,초급,활발한코딩중독자,,,,,,,,,,,,,,,,,,
93,C5BCF683F71D47EABFC8E7B948FC75ED20240701154850,SK텔레콤,ChatGPT를 활용한 영어 blog 및 news 요약,자동화,초급,무파,,,,,,,,,,,,,,,,,,
